name,gender
ramya,female
lakshmamma,female
koti,male
sandeep,male
ratnam,female
srinu,male
sunitha,female
sarala,female
pavani,female
parvathi,female
vyshnavi,female
vijaya,female
singh,male
manoj,male
ashok,male
ananya,female
kusuma,female
abhishek,male
sita,female
rajesh,male
sravani,female
venkatamma,female
lakshman,male
bhargavi,female
bunty,male
kalyan,male
anupama,female
jyothi,female
durga,female
vinay,male
bharath,male
sunil,male
lavanya,female
deepika,female
naidu,male
shanti,female
raghu,male
chintu,male
srinivas,male
charan,male
ramesh,male
khan,male
arjun,male
mounika,female
bhavani,female
kartik,male
revathi,female
prasad,male
kavitha,female
priyanka,female
anil,male
karthik,male
raja,male
hema,female
venky,male
chowdary,male
vamsi,male
somu,male
aditya,male
madhavi,female
bhaskar,male
krishna,male
krish,male
naveen,male
geetha,female
rupa,female
balu,male
sahithi,female
leela,female
pallavi,female
kiran,male
vicky,male
shiva,male
jaya,female
nirmala,female
padma,female
venkat,male
meghana,female
shravya,female
divya,female
babu,male
deepak,male
vikram,male
roopa,female
sai,male
vani,female
sharma,male
mahesh,male
pawan,male
shanthi,female
shailaja,female
ajay,male
rao,male
anitha,female
sumathi,female
nani,male
prakash,male
sindhu,female
ram,male
tulasi,female
ramu,male
lakshmi,female
indira,female
rohit,male
gayatri,female
swathi,female
rathnam,male
shaik,male
suresh,male
rahul,male
mohan,male
madhu,male
harish,male
ganesh,male
verma,male
nagmani,female
sekhar,male
sirisha,female
harini,female
amulya,female
akram,male
lalitha,female
gupta,male
keerthi,female
reddy,male
sneha,female
vijay,male
